event_ticker,prompt,answer_options,model_output
KXNHLSPREAD-25DEC16ANACBJ,"Will Columbus or Anaheim win, and by how many goals?","Columbus wins by over 2.5 goals, Columbus wins by over 1.5 goals, Anaheim wins by over 2.5 goals, Anaheim wins by over 1.5 goals",Columbus wins by over 1.5 goals
KXNHLGAME-25DEC16VANNYR,Who will win between the Vancouver Canucks and the New York Rangers?,"VAN Canucks, NYR Rangers",NYR Rangers
KXNHLGAME-25DEC16UTABOS,Who will win the match between Utah Mammoth and Boston Bruins?,"UTA Mammoth, BOS Bruins",BOS Bruins
KXNHLGAME-25DEC16PHIMTL,Who will win the game between Philadelphia Flyers and Montreal Canadiens?,"PHI Flyers, MTL Canadiens",PHI Flyers
KXNHLGAME-25DEC16NYIDET,Who will win between the New York Islanders and the Detroit Red Wings?,"NYI Islanders, DET Red Wings",NYI Islanders
KXNHLGAME-25DEC16CHITOR,Who will win between the Chicago Blackhawks and the Toronto Maple Leafs?,"TOR Maple Leafs, CHI Blackhawks",TOR Maple Leafs
KXNHLGAME-25DEC16ANACBJ,Who will win the game between the Anaheim Ducks and the Columbus Blue Jackets?,"CBJ Blue Jackets, ANA Ducks",ANA Ducks
KXNCAAWBGAME-25DEC16WSUHALL,Who will win the game between Washington State and Seton Hall?,"Washington St., Seton Hall",Washington St.
KXNCAAWBGAME-25DEC16SHSUALA,Which team will win between Sam Houston and Alabama?,"Sam Houston, Alabama",Alabama
KXNCAAWBGAME-25DEC16BINGSYR,Who will win the game between Binghamton and Syracuse?,"Syracuse, Binghamton",Syracuse
KXNCAAMBTOTAL-25DEC16LOUTENN,What will be the total points scored in the Louisville vs. Tennessee game?,"Over 172.5 points scored, Over 169.5 points scored, Over 166.5 points scored, Over 163.5 points scored, Over 160.5 points scored, Over 157.5 points scored, Over 154.5 points scored, Over 151.5 points scored, Over 148.5 points scored, Over 145.5 points scored, Over 142.5 points scored",Over 163.5 points scored
KXNCAAMBSPREAD-25DEC16LOUTENN,By how many points will Tennessee or Louisville win the game?,"Tennessee wins by over 8.5 Points, Tennessee wins by over 5.5 Points, Tennessee wins by over 2.5 Points, Tennessee wins by over 14.5 Points, Tennessee wins by over 11.5 Points, Louisville wins by over 7.5 Points, Louisville wins by over 4.5 Points, Louisville wins by over 16.5 Points, Louisville wins by over 13.5 Points, Louisville wins by over 10.5 Points, Louisville wins by over 1.5 Points",Tennessee wins by over 14.5 Points
KXNCAAMBGAME-25DEC16UTRGVLAM,Who will win the game between UT Rio Grande Valley and Lamar?,"UT Rio Grande Valley, Lamar",Lamar
KXNCAAMBGAME-25DEC16UMKCOKLA,Who will win the game between Kansas City and Oklahoma?,"Kansas City, Oklahoma",Kansas City
KXNCAAMBGAME-25DEC16TARLMVSU,Who will win the game between Tarleton State and Mississippi Valley State?,"Tarleton St., Mississippi Valley St.",Tarleton St.
KXNCAAMBGAME-25DEC16SCARCLEM,Who will win the game between South Carolina and Clemson?,"South Carolina, Clemson",Clemson
KXNCAAMBGAME-25DEC16RIDDEL,Who will be the winner in Delaware?,"Rider, Delaware",Delaware
KXNCAAMBGAME-25DEC16OHWOHIO,Who will win the game between Ohio Wesleyan and Ohio?,"Ohio Wesleyan, Ohio",Ohio
KXNCAAMBGAME-25DEC16NCATUNCG,Who will win the game between North Carolina A&T and UNC Greensboro?,"UNC Greensboro, North Carolina A&T",UNC Greensboro
KXNCAAMBGAME-25DEC16MOHWRST,Who will win the game between Miami (OH) and Wright St.?,"Wright St., Miami (OH)",Wright St.
KXNCAAMBGAME-25DEC16MBUHP,"Which team will win, Mary Baldwin or High Point?","Mary Baldwin, High Point",High Point
KXNCAAMBGAME-25DEC16LOUTENN,Who will win the game between Louisville and Tennessee?,"Tennessee, Louisville",Tennessee
KXNCAAMBGAME-25DEC16FSUDAY,Who will win the game between Florida State and Dayton?,"Florida St., Dayton",Florida St.
KXNCAAMBGAME-25DEC16FIUMIA,Who will win the game between Florida International and Miami (FL)?,"Miami (FL), Florida International",Miami (FL)
KXNCAAMBGAME-25DEC16DEPSJU,Who will win the game between DePaul and St. John's?,"St. John's, DePaul",St. John's
KXNCAAMBGAME-25DEC16CHSBGSU,Who will win the game between Chicago State and Bowling Green?,"Chicago St., Bowling Green",Bowling Green
KXNCAAMBGAME-25DEC16CANURI,Who will win the game between Canisius and Rhode Island?,"Rhode Island, Canisius",Rhode Island
KXNCAAMBGAME-25DEC16BELEVAN,Who will win the game between Belmont and Evansville?,"Evansville, Belmont",Belmont
KXNHLTOTAL-25DEC16EDMPIT,How many total goals will be scored in the Edmonton vs Pittsburgh game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 4.5 goals scored
KXNHLSPREAD-25DEC16EDMPIT,"Which team will win the game, and by how many goals?","Pittsburgh wins by over 2.5 goals, Pittsburgh wins by over 1.5 goals, Edmonton wins by over 2.5 goals, Edmonton wins by over 1.5 goals",Pittsburgh wins by over 1.5 goals
KXNHLGAME-25DEC16EDMPIT,Who will win the game between Edmonton and Pittsburgh?,"PIT Penguins, EDM Oilers",EDM Oilers
KXNCAAWBGAME-25DEC16AUBMTU,Who will win the game between Auburn and Middle Tennessee?,"Middle Tennessee, Auburn",Auburn
KXNCAAWBGAME-25DEC16ARPBTCU,Who will win the game between Arkansas-Pine Bluff and TCU?,"TCU, Arkansas-Pine Bluff",TCU
KXNCAAMBGAME-25DEC16UALRMORE,Who will win the game between Little Rock and Morehead St.?,"Little Rock, Morehead St.",Little Rock
KXNCAAMBGAME-25DEC16MRSTGT,Who will win the game between Marist and Georgia Tech?,"Marist, Georgia Tech",Georgia Tech
KXNCAAMBGAME-25DEC16LIUMSST,Who will win the game between LIU and Mississippi State?,"Mississippi St., LIU",Mississippi St.
KXNHLTOTAL-25DEC16WSHMIN,What will be the total number of goals scored in the Washington vs Minnesota game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLSPREAD-25DEC16WSHMIN,Will Washington or Minnesota win by over 1.5 or 2.5 goals?,"Washington wins by over 2.5 goals, Washington wins by over 1.5 goals, Minnesota wins by over 2.5 goals, Minnesota wins by over 1.5 goals",Washington wins by over 1.5 goals
KXNHLGAME-25DEC16WSHMIN,Who will win the game between the Washington Capitals and the Minnesota Wild?,"WSH Capitals, MIN Wild",WSH Capitals
KXNCAAMBGAME-25DEC16YORKNEOM,Who will win the game between York College (NE) and Omaha?,"York College (NE), Omaha",Omaha
KXNCAAMBGAME-25DEC16VALPNW,Who will win the basketball game between Valparaiso and Northwestern?,"Valparaiso, Northwestern",Northwestern
KXNCAAMBGAME-25DEC16UNCOTTU,Who will win the game between Northern Colorado and Texas Tech?,"Northern Colorado, Texas Tech",Texas Tech
KXNCAAMBGAME-25DEC16ORUMOSU,Who will win the game between Oral Roberts and Missouri State?,"Oral Roberts, Missouri St.",Missouri St.
KXNCAAMBGAME-25DEC16LMCTEX,Who will win the game between Le Moyne and Texas?,"Texas, Le Moyne",Texas
KXNCAAMBGAME-25DEC16EWUNIU,Who will win the game between East-West and Northern Illinois?,"Northern Illinois, East-West",Northern Illinois
KXNCAAMBGAME-25DEC16ETSUUNC,Who will win the game between East Tennessee State and North Carolina?,"North Carolina, East Tennessee St.",North Carolina
KXNCAAMBGAME-25DEC16BUTCONN,Who will win the game between Butler and UConn?,"UConn, Butler",UConn
KXNBATOTAL-25DEC16SASNYK,What will be the total combined points scored in the San Antonio at New York game?,"Over 242.5 points scored, Over 239.5 points scored, Over 236.5 points scored, Over 233.5 points scored, Over 230.5 points scored, Over 227.5 points scored, Over 224.5 points scored, Over 221.5 points scored, Over 218.5 points scored, Over 215.5 points scored, Over 212.5 points scored",Over 230.5 points scored
KXNBASPREAD-25DEC16SASNYK,Which team will win the game and by how many points?,"San Antonio wins by over 7.5 Points, San Antonio wins by over 4.5 Points, San Antonio wins by over 13.5 Points, San Antonio wins by over 10.5 Points, San Antonio wins by over 1.5 Points, New York wins by over 8.5 Points, New York wins by over 5.5 Points, New York wins by over 2.5 Points, New York wins by over 17.5 Points, New York wins by over 14.5 Points, New York wins by over 11.5 Points",San Antonio wins by over 1.5 Points
KXNCAAWBGAME-25DEC16UNCOCOLO,Who will win the game between Northern Colorado and Colorado?,"Northern Colorado, Colorado",Colorado
KXNCAAWBGAME-25DEC16CHAPLMU,Who will win the game between Chapman and Loyola Marymount?,"Loyola Marymount, Chapman",Loyola Marymount
KXNCAAWBGAME-25DEC16ASUGONZ,Who will win the game between Arizona State and Gonzaga?,"Gonzaga, Arizona St.",Gonzaga
KXNCAAMBGAME-25DEC16UCCSDEN,Who will win the UC-Colorado Springs vs. Denver game?,"UC-Colorado Springs, Denver",Denver
KXNCAAMBGAME-25DEC16TOWSKU,Who will win the game between Towson and Kansas?,"Towson, Kansas",Kansas
KXNCAAMBGAME-25DEC16QUCARK,Who will win between Queens University and Arkansas?,"Queens University, Arkansas",Arkansas
KXNCAAMBGAME-25DEC16PACBYU,Who will win the Pacific at BYU game?,"Pacific, BYU",BYU
KXNCAAMBGAME-25DEC16ACARIZ,Who will win the game between Abilene Christian and Arizona?,"Arizona, Abilene Christian",Arizona
KXNCAAFGAME-25DEC16TROYJVST,Who will win the game between Troy and Jacksonville State?,"Troy, Jacksonville St.",Troy
KXNHLTOTAL-25DEC16COLSEA,How many total goals will be scored in the Colorado vs Seattle game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 3.5 goals scored
KXNHLTOTAL-25DEC16CGYSJ,How many total points will be scored in the Calgary vs San Jose game?,"Over 7.5 goals scored, Over 6.5 goals scored, Over 5.5 goals scored, Over 4.5 goals scored, Over 3.5 goals scored",Over 6.5 goals scored
KXNHLSPREAD-25DEC16COLSEA,By how many goals will Seattle or Colorado win the game?,"Seattle wins by over 2.5 goals, Seattle wins by over 1.5 goals, Colorado wins by over 2.5 goals, Colorado wins by over 1.5 goals",Seattle wins by over 1.5 goals
KXNHLSPREAD-25DEC16CGYSJ,Which team will win by more than 2.5 goals?,"San Jose wins by over 2.5 goals, San Jose wins by over 1.5 goals, Calgary wins by over 2.5 goals, Calgary wins by over 1.5 goals",San Jose wins by over 2.5 goals
KXNHLGAME-25DEC16COLSEA,Who will win the game between the Colorado Avalanche and the Seattle Kraken?,"SEA Kraken, COL Avalanche",COL Avalanche
KXNHLGAME-25DEC16CGYSJ,Who will win the game between Calgary and San Jose?,"SJ Sharks, CGY Flames",CGY Flames
KXNCAAWBGAME-25DEC16CPUCLA,Who will win the game between Cal Poly and UCLA?,"UCLA, Cal Poly",UCLA
KXNCAAMBGAME-25DEC16SUFEUCRV,"Who will be the winner, Stanton or UC Riverside?","UC Riverside, Stanton",UC Riverside
KXNCAAMBGAME-25DEC16SOUCBU,Who will win between Southern University and California Baptist?,"Southern University, California Baptist",California Baptist
KXNCAAMBGAME-25DEC16MTSTCP,Who will win the game between Montana State and Cal Poly?,"Montana St., Cal Poly",Montana St.
KXNCAAMBGAME-25DEC16UCSDLMU,Who will win the game between UC San Diego and Loyola Marymount?,"UC San Diego, Loyola Marymount",UC San Diego
KXNBLGAME-25DEC17A36SYD,Who will win the game between the Sydney Kings and the Adelaide 36ers?,"Sydney Kings, Adelaide 36ers",Sydney Kings
KXCBAGAME-25DEC17SBWSHA,Who will win the game between Shandong Kirin and Sichuan Blue Whales?,"Shandong Kirin, Sichuan Blue Whales",Sichuan Blue Whales
KXCBAGAME-25DEC17LIABED,Which team will win the game between the Beijing Ducks and the Liaoning Flying Leopards?,"Liaoning Flying Leopards, Beijing Ducks",Liaoning Flying Leopards
KXTACAPORTGAME-25DEC17VILLEI,Who will win the match between Vila Mea and Leiria?,"Vila Mea, Tie, Leiria",Leiria
KXWLEADER-25,Who will Trump meet with before 2025?,"Kim Jong-Un, Justin Trudeau, Nicolás Maduro",Justin Trudeau
KXZUCKMUSK-25,Will Zuckerberg and Musk fight in 2025?,"In 2025, Not In 2025",Not In 2025
KXWAYMOCITIES-25,"How many cities will Waymo be operating in on December 31, 2025?","9, 8, 7, 6, 5, 4, 3, 2, 13, 12, 11, 10, 1, 0",6
KXWAINWRIGHTBANANAS-25,Will Adam Wainwright attend the Savannah Bananas game?,"Adam Wainwright, Not Adam Wainwright",Not Adam Wainwright
KXVOTINGBILL-25,"Will a bill that changes early voting, by-mail voting, voter ID, or voter registration practices for federal elections become law before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Before Dec 31, 2025"
KXVACCINEW-25,Will any Covid vaccine lose its FDA approval in the US in 2025?,"By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXUSMINE-25,Will the federal government start mining Bitcoin before 2026?,"Before 2026, Not Before 2026",Not Before 2026
KXUSDCUSDTRATIO-25,Will the USDC market cap exceed 50% of the USDT market cap by the end of 2025?,"On Dec 31, 2025, Not On Dec 31, 2025","On Dec 31, 2025"
KXTVSHOWSCANCELLED-25,Which of the following shows will be cancelled this year?,"The View, The Tonight Show Starring Jimmy Fallon, South Park, Late Night With Seth Meyers, Jimmy Kimmel Live!, The Daily Show",South Park
KXTRANSSPORTSSUIT-25,Which states will Trump sue over their trans sports policies?,"Minnesota, Not Minnesota",Minnesota
KXTPSUKR-25,Will Temporary Protected Status for Ukraine end in 2025?,"In 2025, Not In 2025",In 2025
KXTOPMODEL-25DEC,Which AI model will be considered the top model this month?,"qwen3-max-preview, mistral-medium-2508, grok-4.1-thinking, :: exact name will update based on the highest scoring gpt-5.2 model, gpt-5.1-high, glm-4.6, gemini-3-pro, gemini-2.5-pro, ernie-5.0-preview-1022, claude-opus-4-5-20251101",gpt-5.1-high
KXTOP3WEALTH-25DEC31,Who will be one of the three wealthiest people in the world?,"Warren Buffett, Mark Zuckerberg, Larry Ellison, Jensen Huang, Jeff Bezos, Elon Musk",Elon Musk
KXTOP3AI-25,What will be the top three AI companies at the end of 2025?,"OpenAI, Google, and xAI, OpenAI, Google, and Meta, OpenAI, Google, and Anthropic, OpenAI, Google, and 01 AI","OpenAI, Google, and Anthropic"
KXTIKTOKLEAVE-25DEC,Will TikTok leave the app store before December 2025?,"Before 2026, Not Before 2026",Before 2026
KXTARIFFSEMI-25,Will tariffs on semiconductors come into effect before December 2025?,"Before Dec 2025, Not Before Dec 2025",Not Before Dec 2025
KXTARIFFPHARMA-25,Will tariffs on pharmaceuticals come into effect before December 2025?,"Before Dec 2025, Not Before Dec 2025",Before Dec 2025
KXSWHIRES-25,Which of these companies will announce hiring freezes on software engineers this year?,"Tesla, NVIDIA, Microsoft, Meta, Google, Amazon, Apple",Meta
KXSTARLINKFAA-25,Will Starlink receive an FAA contract in 2025?,"In 2025, Not In 2025",In 2025
KXSTABLETOTAL-25,What will the combined market capitalization of USDC and USDT be at the end of 2025?,"At least $300 billion, At least $250 billion",At least $300 billion
KXSPOTIFYSONG-25,Will each of these artists release a song this year?,"Radiohead, Olivia Rodrigo, Nicki Minaj, John Mayer, J. Cole, JAY-Z, Frank Ocean, BTS, Bruno Mars, Beyonce, Aphex Twin",Olivia Rodrigo
KXSPOTIFYALBUMRELEASE-25,Which of these artists will release an album this year?,"Rihanna, Nicki Minaj, Lil Uzi Vert, LCD Soundsystem, John Mayer, Jack Harlow, J. Cole, Harry Styles, Frank Ocean, Drake, Beyonce, Aphex Twin, A$AP Rocky, JAY-Z",Drake
KXSPACEXREUSE-25,Will the upper stage of the SpaceX Starship be recovered intact during the year 2025?,"In 2025, Not In 2025",In 2025
KXSFFASUIT-25,Will the Department of Justice sue an AAU university for failing to comply with Students For Fair Admission v Harvard during the year 2025?,"In 2025, Not In 2025",Not In 2025
KXSCREWWORMCOUNT-25,How many cases of Screwworm will there be in the USA in 2025?,"At least 5, At least 3, At least 25, At least 10",At least 3
KXSCHUMEROUT-25,Will Chuck Schumer stop being Senate Minority Leader before 2026?,"Before 2026, Not Before 2026",Before 2026
KXSCHEDULEFSUIT-25,Will a federal court rule that Trump’s Schedule F order is unlawful in 2025?,"In 2025, Not In 2025",In 2025
KXPRCSTUDENTS-25,"Will a bill that limits, restricts, bans, or grants the Executive Branch the power to limit, restrict, or ban students from the People's Republic of China from attending universities and colleges in the United States become law before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXPLAYBOICARTI-25,Will Playboi Carti release another album this year?,"Playboi Carti, Not Playboi Carti",Playboi Carti
KXPLAGUECOUNT-25,How many cases of the plague will there be in the USA in 2025?,"At least 5, At least 15, At least 10",At least 5
KXOSWORLD-25,What is the highest score that any large language model (LLM) will achieve on OSWorld this year?,"At least 90, At least 80, At least 70",At least 70
KXOSCARDEI-25,Will the Oscars end their diversity requirements before 2025?,"Before 2025, Not Before 2025",Not Before 2025
KXOILRIGS-25,How many oil rigs will the US have at the end of the year?,"At least 800, At least 700, At least 650, At least 625, At least 600, At least 575, At least 550, At least 525, At least 500, At least 475, At least 450",At least 550
KXOHFLAGLAW-25,"Will a bill that makes it a felony to plant a flag at the Ohio State stadium become law before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXOAIGOOGLE-25DEC31,"Will OpenAI's best model outperform Google's best model by various point margins on Dec 31, 2025?","Above 60 points, :: Gap on Nov 4, 2024, Above 200 points, Above 20 points, Above 100 points, Above 0 points",Above 0 points
KXNEWSOMGUEST-25,Who will go on the This Is Gavin Newsom show this year?,"Tucker Carlson, Palmer Luckey, Mark Zuckerberg, Marc Andreessen, Kamala Harris, JD Vance, Ivanka Trump, Hillary Clinton, Elon Musk, Donald Trump, Candace Owens, Barack Obama, Alex Jones",Elon Musk
KXNEWROLEX-25,Who will be the next CEO of X?,"Jack Dorsey, Elon Musk",Elon Musk
KXNEWOUTBREAKPMPOX,"Will there be a new pandemic by December 31, 2025?","By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXNEWOUTBREAKPMEASLES,"Will there be a new pandemic by December 31, 2025?","By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXNEWOUTBREAKPHEICMEASLES,Will there be a new public health emergency of international concern declared by the end of 2025?,"By Dec 31, 2025, Not By Dec 31, 2025","By Dec 31, 2025"
KXNEWOUTBREAKPHEICCOVID,"Will there be a new public health emergency of international concern declared by December 31, 2025?","By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXNEWOUTBREAKPHEICCHIK,Will Chikungunya be declared a Public Health Emergency of International Concern (PHEIC) in 2025?,"In 2025, Not In 2025",Not In 2025
KXNEWOUTBREAKPH5N1,"Will there be a new pandemic by December 31, 2025?","By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXNEWOUTBREAKPCOVID,"Will there be a new pandemic by December 31, 2025?","By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXNEWOUTBREAKPCHIK,Will there be a chikungunya pandemic in 2025?,"In 2025, Not In 2025",Not In 2025
KXNEWOUTBREAK-P,"Will there be a new pandemic by December 31, 2025?","By Dec 31, 2025, Not By Dec 31, 2025","Not By Dec 31, 2025"
KXNEWCOINCHAIN-25,Which blockchain will Kanye use to launch his token?,"Ripple, Multiple chains, Ethereum, Binance Smart Chain",Ethereum
KXMUSKVISIT-25,Which countries will Elon Musk visit this year?,"Russia, North Korea, Mexico, India, Canada",India
KXMUSKUNCONST-25,"Will the Supreme Court rule on whether Musk's role at the White House is unconstitutional before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXMUNIBONDTAX-25,"Will a bill that eliminates the federal tax exemption on interest from municipal bonds become law before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXMETACLOSE-25,Will Meta release a non-open source AI model in 2025?,"Before 2025, Not Before 2025",Not Before 2025
KXKEYSTONE-25,Will the development of the Keystone XL pipeline be revived in 2025?,"In 2025, Not In 2025",Not In 2025
KXKENNEDYCENTER-25,Will anyone publicly reject Kennedy Center Honors in 2025?,"In 2025, Not In 2025",In 2025
KXIPHONEASSEMBLE-25,Will Apple announce any iPhone assembly operations in the US in 2025?,"In 2025, Not In 2025",Not In 2025
KXINJS-25,"Will a bill limiting nationwide injunctions by district court judges pass the Senate before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXINJLAW-25,"Will a bill limiting nationwide injunctions by district court judges become law before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXIMPEACHJUDGE-25,Will the House impeach a federal judge before 2026?,"Before 2026, Not Before 2026",Before 2026
KXHURPATHSCAROLINA-25DEC,Will a hurricane make landfall in South Carolina before 2025?,"Before 2025, Not Before 2025",Before 2025
KXHURPATHHOU-25,Will a hurricane make landfall in Houston during the 2025 hurricane season?,"Before 2025, Not Before 2025",Not Before 2025
KXHURPATHHAWAII-25DEC,Will a hurricane make landfall in Hawaii before 2026?,"Before 2026, Not Before 2026",Before 2026
KXHURPATHGULFCOAST-25,Will a hurricane make landfall in the U.S. Gulf Coast during the 2025 hurricane season?,"Before 2026, Not Before 2026",Before 2026
KXHURPATHFLA-25,Will a hurricane make landfall in Florida before 2025?,"Before 2025, Not Before 2025",Before 2025
KXHEADSTART-25,Will Trump end Head Start before 2025?,"Before 2025, Not Before 2025",Not Before 2025
KXGOLDCARDS-25,How many Gold Cards will Trump sell this year?,"Above 100,000, 0, 5,001 to 10,000, 25,001 to 100,000, 101 to 1,000, 1 to 100, 2,501 to 5,000, 1,001 to 2,500, 10,001 to 25,000",0
KXGASBAN-25,Which states will enact gas stove bans this year?,"Oregon, New Hampshire, Maine, Delaware, Connecticut",Oregon
KXFLIGHTSRUSSIA-25,Will U.S. direct flights to Russia resume before 2026?,"Before 2026, Not Before 2026",Not Before 2026
KXFERT-25,How high will the price of fertilizer get this year?,"Above $800, Above $700, Above $650, Above $625",Above $800
KXFEDWIKI-25,Will federal employees be prohibited from editing Wikipedia in 2025?,"In 2025, Not In 2025",Not In 2025
KXFEATUREYE,Who will be featured on the song 'BULLY' by Ye/Kanye West?,"The Weeknd, Ty Dolla $ign, Travis Scott, Pusha T, Playboi Carti, North West, Lil Durk, Kid Cudi, Future, Drake",The Weeknd
KXEXPORTTARIFF-25,Will Trump try to impose export tariffs before 2025?,"Before 2025, Not Before 2025",Before 2025
KXEXITCONSERV-25,Will Freddie Mac and Fannie Mae exit government conservatorship in 2025?,"In 2025, Not In 2025",Not In 2025
KXETHFLIP-25,Will Ethereum be overtaken by another cryptocurrency in 2025?,"In 2025, Not In 2025",In 2025
KXDOJPARDONS-25,Will the DOJ claim in federal court that any of President Biden's pardons are void in 2025?,"In 2025, Not In 2025",Not In 2025
KXDOGEDIV-25,Will a DOGE dividend be issued before 2025?,"Before 2025, Not Before 2025",Not Before 2025
KXDJTROBERTS-25,Will Trump call for John Roberts to retire or be impeached in 2025?,"In 2025, Not In 2025",Not In 2025
KXDJTNFT-25,Will Donald Trump launch an NFT before 2025?,"Before 2025, Not Before 2025",Before 2025
KXDJTMETA-25,Will Donald Trump launch a metaverse before 2026?,"Before 2026, Not Before 2026",Before 2026
KXDJTGREENLAND-25,Will Donald Trump visit Greenland in 2025?,"In 2025, Not In 2025",Not In 2025
KXDJTCHAIN-25,Will Donald Trump launch a new blockchain before 2025?,"Before 2025, Not Before 2025",Before 2025
KXDJOKOVICRETIRE-25,Will Novak Djokovic announce his retirement before the start of the 2026-27 regular season?,"Before the start of the 2026-27 regular season, Not Before the start of the 2026-27 regular season",Not Before the start of the 2026-27 regular season
KXDEPORTELSAL-25,Will it be reported that the US has deported a citizen to El Salvador in 2025?,"In 2025, Not In 2025",Not In 2025
KXCRYPTORESERVE-25,Which crypto assets will Trump's crypto reserve acquire this year?,"XRP, Solana, Ether, Bitcoin, Cardano",Bitcoin
KXCRYPTOPAY-25,"Will Google, Meta, Amazon, Tesla, or X accept cryptocurrency for any of their core services in 2025?","In 2025, Not In 2025",Not In 2025
KXCHINAUNRUBIO-25,Will China announce they are ending their sanctions against Marco Rubio in 2025?,"In 2025, Not In 2025",Not In 2025
KXBUYBTC-25,"Will a bill that authorizes the U.S. government to purchase at least one million Bitcoin pass the Senate before December 31, 2025?","Before Dec 31, 2025, Not Before Dec 31, 2025","Not Before Dec 31, 2025"
KXBOASTABLE-25,Will Bank of America launch a stablecoin in 2025?,"In 2025, Not In 2025",Not In 2025
KXBARRELS-25,How many barrels of oil per day will the US produce this year?,"At least 16000000, At least 15000000, At least 14500000, At least 14000000",At least 16000000
KXAMBMALAY-25,When will Trump's nominee for Ambassador to Malaysia be confirmed?,"Before Dec 31, 2025, Not Before Dec 31, 2025","Before Dec 31, 2025"
KXAFDBANREQUEST-25,Will the German government request a ban of the AfD in 2025?,"In 2025, Not In 2025",Not In 2025
