event_ticker,prompt,answer_options,model_output
KXRAINSEAM-25DEC,How much rain will Seattle receive in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 5 inches
KXRAINMIAM-25DEC,How much rain will fall in Miami in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 2 inches
KXRAINLAXM-25DEC,How much rain will fall in Los Angeles in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 2 inches
KXRAINHOUM-25DEC,How much rain will fall in Houston in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 4 inches
KXRAINDENM-25DEC,How much rain will Denver receive in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 1 inch
KXRAINDALM-25DEC,Will the total rainfall in Dallas in December 2025 exceed certain amounts?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 2 inches
KXRAINCHIM-25DEC,How much rain will fall in Chicago in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 2 inches
KXRAINAUSM-25DEC,How much rain will Austin receive in December 2025?,"Above 7 inches, Above 6 inches, Above 5 inches, Above 4 inches, Above 3 inches, Above 2 inches, Above 1 inch",Above 2 inches
KXNCAAFGAME-26JAN02RICETXST,Who will win the game between Rice and Texas State?,"Texas St., Rice",Texas St.
KXNCAAFGAME-26JAN02NAVYCIN,Who will win the game between Navy and Cincinnati?,"Navy, Cincinnati",Cincinnati
KXNCAAFGAME-26JAN02WAKEMSST,Who will win the game between Wake Forest and Mississippi State?,"Wake Forest, Mississippi St.",Mississippi St.
KXNCAAFGAME-26JAN02ARIZSMU,Who will win the game between Arizona and SMU?,"SMU, Arizona",Arizona
KXDAYLIGHT-25DEC31,"Will daylight savings time be made permanent by December 31, 2025?","Becomes law, Not Becomes law",Not Becomes law
KXNCAAFFINALIST-26,Which team will reach the College Football National Championship Game?,"Georgia, Texas A&M, Tulane, Texas Tech, Ohio St., Oregon, Oklahoma, Ole Miss, Miami (FL), Indiana, Alabama",Ohio St.
KXNCAAFD3-25,Who will be the College Football Division III National Champion?,"UW-River Falls, North Central (IL), Johns Hopkins, John Carroll",North Central (IL)
KXRTSOULM8TE,What will the Rotten Tomatoes score for Soulm8te be?,"Above 90, Above 75, Above 60, Above 45",Above 60
KXCPICOMBO-25DEC,Will the Consumer Price Index (CPI) for December 2025 be above a certain percentage and the year-over-year CPI increase be above a certain percentage?,"CPI: Above 0.3%, YOYCPI: Above 3.2%, CPI: Above 0%, YOYCPI: Above 2.7%, CPI: Above 0.2%, YOYCPI: Above 3.1%, CPI: Above 0.1%, YOYCPI: Above 2.9%, CPI: Above -0.1%, YOYCPI: Above 2.4%","CPI: Above 0.1%, YOYCPI: Above 2.9%"
KXNCAAFCS-25,Who will be the College Football FCS National Champion?,"Villanova, Montana St., Montana, Illinois St.",Montana St.
KXNFLSACKRECORD-25,Will Myles Garrett break the pro football regular season sack record in the 2025-26 season?,"Yes, Not Yes",Not Yes
KXNFLRECYDSRECORD-25,Will the pro football regular season receiving yards record be broken in the 2025-26 season?,"Jaxon Smith-Njigba, Not Jaxon Smith-Njigba",Not Jaxon Smith-Njigba
KXOSCARNOMSBANIMATEDF-26,What films will be nominated for the 2026 Best Animated Feature Film Oscar?,"Zootopia 2:: Jared Bush, Byron Howard, Yvett Merino, Little Amélie or the Character of Rain:: Claire La Combe, Edwina Liard, HEnri Magalon, Nidia Santiago, Maïlys Vallade, KPop Demon Hunters:: Chris Appelhans, Maggie Kang, Michelle Wong, In Your Dreams:: Tim Hahn, Gregg Taylor, Alex Woo, Arco:: Ugo Bienvenu, Félix de Givry, Sophie Mas, Natalie Portman, Demon Slayer: Kimetsu no Yaiba Infinity Castle","Zootopia 2:: Jared Bush, Byron Howard, Yvett Merino"
KXMCLOHTBTH,What is the Metacritic score of The Legend of Heroes: Trails beyond the Horizon?,"95::, 90:: Universal Acclaim, 85::, 80::, 75:: Generally Favorable, 70::, 65::, 60",80::
KXSFRENTSY-25,How much will San Francisco rent increase by?,"3%, 2%, 1.5%, 1%",2%
KXPRESNOMFEDCHAIR-25,"Will Trump announce his new Chair of the Federal Reserve before January 15, 2026?","Before January 15, Not Before January 15",Not Before January 15
KXOSCARNOMSUPACTR-26,Who will be nominated for the 2026 Supporting Actress Oscar?,"Wunmi Mosaku:: Sinners, Tilda Swinton:: The Ballad of a Small Player, Thomasin McKenzie:: The Testament of Ann Lee, Teyana Taylor:: Straw, Samantha Morton:: Anemone, Regina Hall:: One Battle After Another, Mari Yamamoto:: Rental Family, Laura Dern:: Jay Kelly, Kate Hudson:: Song Song Blue, Inga Ibsdotter Lilleaas:: Sentimental Value, Hailee Steinfeld:: Sinners, Gwyneth Paltrow:: Marty Supreme, Glenn Close:: Wake Up Dead Man: A Knives Out Mystery, Greta Lee:: Late Fame, Elle Fanning:: Sentimental Value, Emily Blunt:: The Smashing Machine, Chase Infiniti:: One Battle After Another, Amy Madigan:: Weapons, Angelina LookingGlass:: The Rivals of Amziah King, Ariana Grande:: Wicked: For Good, Ayo Edebiri:: After the Hunt",Ariana Grande:: Wicked: For Good
KXOSCARNOMSUPACTO-26,Who will be nominated for the 2026 Best Supporting Actor Oscar?,"Takehiro Hira:: Rental Family, Stellan Skarsgård:: Sentimental Value, Sean Penn:: One Battle After Another, Stephen Graham:: Deliver Me From Nowhere, Sean Bean:: Anemone, Paul Mescal:: Hamnet, Paul Dano:: The Wizard of the Kremlin, Oscar Isaac:: Frankenstein, Mark Hamill:: The Life of Chuck, Miles Caton:: Sinners, Kevin O'Leary:: Marty Supreme, Jude Law:: The Wizard of the Kremlin, Jeremy Strong:: Springsteen: Deliver Me From Nowhere, Jacob Elordi:: Frankenstein, Delroy Lindo:: Sinners, Andrew Scott:: Blue Moon, Adam Sandler:: Jay Kelly, Akira Emoto:: Rental Family, Andrew Garfield:: After the Hunt",Jeremy Strong:: Springsteen: Deliver Me From Nowhere
KXOSCARNOMDOCU-26,What films will be nominated for the Best Documentary Feature Film Oscar in 2026?,"The Perfect Neighbor, Selena y Los Dinos, Springsteen: Deliver Me from Nowhere, Put Your Soul on Your Hand and Walk, Orwell: 2+2=5, Mr. Nobody Against Putin, Endless Cookie, Deaf President Now!, Cutting Through Rocks, Come See Me in the Good Light, Architecton, Apocalypse in the Tropics, 2000 Meters to Andriivka, The Tale of Silyan, Songs of Slow Burning Earth, Seeds, My Undesirable Friends: Part I, Life After",Mr. Nobody Against Putin
KXOSCARNOMDIR-26,Who will be nominated for the Best Director Oscar in 2026?,"Zach Cregger:: Weapons, Yorgos Lanthimos:: Bugonia, Travis Knight:: Wildwood, Spike Lee:: Highest 2 Lowest, Scott Cooper:: Springsteen: Deliver Me From Nowhere, Richard Linklater:: Nouvelle Vague, Rian Johnson.:: Wake Up Dead Man: A Knives Out Mystery, Ronan Day-Lewis:: Anemone, Ryan Coogler:: Sinners, Paul Thomas Anderson:: One Battle After Another, Paul Greengrass:: The Lost Bus, Park Chan-wook:: No Other Choice, Noah Baumbach:: Jay Kelly, Mona Fastvold:: Ann Lee, Mike Flanagan:: The Life of Chuck, Lynne Ramsay:: Die, My Love, Luca Guadagnino:: After the Hunt, Joachim Trier:: Sentimental Value, Jake Schreier:: Thunderbolts*, Josh Safdie:: Marty Supreme, Jon m. chu:: Wicked: For Good, Joseph Kosinski:: F1, James Cameron:: Avatar: Fire and Ash, Jafar Panahi:: It Was Just an Accident, Guillermo del Toro:: Frankenstein, Eva Victor:: Sorry, Baby, Edward Berger:: The Ballad of a Small Player, Chloé Zhao:: Hamnet, Clint Bentley:: Train Dreams, Benny Safdie:: The Smashing Machine, Anthony Maras:: Pressure, Alex Garland:: Warfare, Antoine Fuqua:: Michael, Kleber Mendonça Filho:: The Secret Agent",Paul Thomas Anderson:: One Battle After Another
KXOSCARNOMACTR-26,Who will be nominated for the Best Actress Oscar in 2026?,"Sydney Sweeney:: Christy, Saoirse Ronan:: Bad Apples, Renate Reinsve:: Sentimental Value, Rose Byrne:: If I Had Legs I’d Kick You, Lucy Liu:: Rosemead, June Squibb:: Eleanor the Great, Julia Roberts:: After the Hunt, Jennifer Lawrence:: Die, My Love, Jessica Lange:: Long Day's Journey into Night, Jodie Comer:: The Last Disturbance of Madeline Hynde, Jessie Buckley:: Hamnet, Eva Victor:: Sorry, Baby, Emma Stone:: Bugonia, Cynthia Erivo:: Wicked: For Good, Amanda Seyfried:: Ann Lee",Cynthia Erivo:: Wicked: For Good
KXOSCARNOMACTO-26,Who will be nominated for the Best Actor Oscar in 2026?,"Willem Dafoe:: Late Fame, Wagner Moura:: The Secret Agent, Timothée Chalamet:: Marty Supreme, Paul Mescal:: The History of Sound, Matthew McConaughey:: The Rivals of Amziah King, Michael B. Jordan:: Sinners, Lee Byung-hun:: No Other Choice, Leonardo DiCaprio:: One Battle After Another, Joaquin Phoenix:: Eddington, Jesse Plemons:: Bugonia, Joel Edgerton:: The Plague, Jeremy Allen White:: Springsteen: Deliver Me From Nowhere, George Clooney:: Jay Kelly, Dwayne Johnson:: The Smashing Machine, Denzel Washington:: Highest 2 Lowest, Daniel Day-Lewis:: Anemone, Colin Farrell:: The Ballad of a Small Player, Brendan Fraser:: Rental Family, Brad Pitt:: F1",Timothée Chalamet:: Marty Supreme
KXLCPIMAXYOY-25,"What will the inflation rate be on December 10, 2025?","At least 7.99%, At least 4.99%, At least 3.99%",At least 3.99%
